feature,mean_abs_shap
V13,6.31875632535124e-05
V190,6.183710727734074e-05
V169,6.0197235492705915e-05
V51,6.001973172284241e-05
V76,5.85787563641422e-05
D12,5.855868308169122e-05
V263,5.767053620883936e-05
V96,5.682695471251042e-05
V43,5.6067404365712e-05
V56,5.4955165971460335e-05
V273,5.347553417646985e-05
V85,5.323803892363772e-05
V147,5.0576890020778104e-05
V222,5.049845534990321e-05
V73,5.011794861305189e-05
V67,4.9939186785883795e-05
V30,4.970880686296787e-05
V333,4.895915283824714e-05
V54,4.8062913745784876e-05
V217,4.692883541647244e-05
V124,4.572398417171299e-05
V58,4.43013099579673e-05
V235,4.4184768115137734e-05
V166,4.311610179573883e-05
V262,4.187218588360921e-05
addr2,4.183816983982101e-05
V164,4.1115509665217326e-05
V136,4.058346897823783e-05
V81,4.042992644802215e-05
card4_american express,3.9938772284460404e-05
V15,3.930320758985744e-05
V259,3.8853681430106836e-05
P_emaildomain_att.net,3.8727179889582e-05
V221,3.866909433422493e-05
D9,3.865693028421693e-05
V99,3.840695831978876e-05
V279,3.808035636224399e-05
V44,3.671210092347466e-05
V139,3.5391730066070966e-05
M7_F,3.5137779737251884e-05
V71,3.4208315002704634e-05
V140,3.350259108658317e-05
V25,3.237189932715042e-05
V218,3.23691238534538e-05
P_emaildomain_ymail.com,3.199374481313689e-05
V134,3.180265333220129e-05
V306,3.157574158076246e-05
V278,3.1158508937224485e-05
card4_visa,3.031655911911497e-05
V159,2.9960539467707198e-05
V52,2.972229230877351e-05
V271,2.9541383401917457e-05
P_emaildomain_mail.com,2.901709090531604e-05
V160,2.8233121419302563e-05
V206,2.7914626246283808e-05
V8,2.7143755190298382e-05
V197,2.6951992887130173e-05
V215,2.6870086893853968e-05
V282,2.6601997914121205e-05
V220,2.5935692696819167e-05
P_emaildomain_msn.com,2.5716959412327164e-05
V264,2.568590917973002e-05
V290,2.553844241097164e-05
V39,2.5222926231596273e-05
D6,2.5014098089368528e-05
V6,2.4722146369781067e-05
V287,2.4233658698825925e-05
V24,2.3880432973793806e-05
V86,2.3510840294740955e-05
V323,2.2912378443924287e-05
