feature,mean_abs_shap
V33,0.00012369612928631832
V124,0.00012365656419257177
V86,0.00012313834181631612
V20,0.00011893027738181347
V281,0.00011643104683248899
V319,0.00011575581781032714
V99,0.00011404485412214903
V203,0.00011209950007473868
V219,0.00011189669977127694
V271,0.00010471635724181442
M8_T,0.00010433483529323076
V82,9.999289302052581e-05
M9_T,9.857767463096389e-05
V314,9.736016070630818e-05
V318,9.641145216557718e-05
V228,9.365264117741419e-05
V97,9.331823663869577e-05
V263,9.158735941900103e-05
V132,9.131993791643383e-05
V218,9.073692074904448e-05
V260,9.011305282468332e-05
V309,8.890295811975225e-05
V4,8.283088952752642e-05
V53,8.272621841202009e-05
V5,7.948056462276471e-05
V339,7.910382271592594e-05
V160,7.708399193144748e-05
V83,7.597212219162526e-05
V248,7.470293048701497e-05
V100,7.45089276277524e-05
P_emaildomain_comcast.net,7.426358487267154e-05
D7,7.402079889541837e-05
V13,7.32033911895652e-05
V164,7.259970911953918e-05
V59,7.214665782257304e-05
V166,7.161120288781786e-05
V301,6.835170754041323e-05
V201,6.80921144177843e-05
V74,6.771126555737415e-05
V258,6.590222697131984e-05
V333,6.555861945641013e-05
V129,6.464390570485948e-05
V189,6.341444885968756e-05
V316,6.331594825412377e-05
V115,6.187494936924938e-05
V98,6.167806436093291e-05
V299,6.107944869734541e-05
M2_F,6.0342528694285257e-05
V261,5.976268921357813e-05
V165,5.738343461740392e-05
V212,5.72821247147599e-05
V105,5.658531132871946e-05
V265,5.588341481700469e-05
V152,5.315770699438805e-05
V146,5.097379619018158e-05
V26,4.960641584170685e-05
V264,4.825220261790909e-05
V207,4.785468158892193e-05
V237,4.756851774441059e-05
V185,4.727207366657432e-05
V250,4.684343135794314e-05
V222,4.574858929657115e-05
P_emaildomain_anonymous.com,4.572156043980177e-05
R_emaildomain_anonymous.com,4.296668894919423e-05
V187,4.249995128558836e-05
V323,4.2455340624313226e-05
V208,4.026215949157348e-05
V136,3.9076981758488975e-05
V245,3.82546329235461e-05
V143,3.7405956736335994e-05
V19,3.678981830655443e-05
P_emaildomain_aol.com,3.6580216300845215e-05
V56,3.647350118883123e-05
V38,3.578308877917853e-05
V329,3.483953929643372e-05
V79,3.466485465581594e-05
V311,3.427210372041039e-05
card4_discover,2.7635325869005498e-05
V202,2.7128398821453447e-05
ProductCD_C,2.6986245052644218e-05
D12,2.6979314820118752e-05
V278,2.5626680881592114e-05
V37,2.5252697959982214e-05
V67,2.425146747364822e-05
V77,2.3925602492296158e-05
V246,2.3170394966631446e-05
V296,2.3158244969097058e-05
M7_F,2.2752212437088867e-05
V145,2.172278706200949e-05
V151,2.0948287775545645e-05
V332,1.9771990224654404e-05
V285,1.892765534578551e-05
V167,1.8650038700350134e-05
card4_american express,1.854723413203831e-05
V50,1.8335646738822906e-05
V204,1.7829576098134083e-05
V221,1.7809865779489816e-05
V267,1.765864647545985e-05
P_emaildomain_live.com,1.6200911757222413e-05
V235,1.585173392230232e-05
V144,1.5149819128891202e-05
V199,1.478661346596981e-05
P_emaildomain_icloud.com,1.3867696798209826e-05
V284,1.370713625152873e-05
V23,1.21598828381738e-05
V116,1.162890507042568e-05
V58,1.1026529159374297e-05
V262,1.1022891671699144e-05
V337,1.0444024611915833e-05
V286,1.0187651406775128e-05
V123,9.986781968447065e-06
